PLAYER,TEAM,POS,AGE,GP,GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Int,Rushing_Att,Rushing_Yds,Y/A,Rushing_TD,Tgt,Rec,Reception_Yds,Y/R,Rec_TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Adrian Peterson,MIN,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,348.0,2097.0,6.03,12.0,51.0,40.0,217.0,5.43,1.0,1.0,,307.0,347.0,355.4,327.4,177.0,1.0,1.0
Doug Martin,TAM,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,319.0,1454.0,4.56,11.0,70.0,49.0,472.0,9.63,1.0,,,263.0,312.0,318.6,287.1,132.0,2.0,2.0
Arian Foster,HOU,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,351.0,1424.0,4.06,15.0,58.0,40.0,217.0,5.43,2.0,,,262.0,302.0,310.1,282.1,132.0,3.0,3.0
Marshawn Lynch,SEA,RB,26.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,315.0,1590.0,5.05,11.0,30.0,23.0,196.0,8.52,1.0,,,247.0,270.0,277.6,258.1,116.0,4.0,4.0
Alfred Morris,WAS,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,335.0,1613.0,4.81,13.0,16.0,11.0,77.0,7.0,0.0,,,241.0,252.0,258.0,246.5,111.0,5.0,5.0
Calvin Johnson,DET,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,204.0,122.0,1964.0,16.1,5.0,,,220.0,342.0,348.4,281.4,102.0,1.0,6.0
Brandon Marshall,CHI,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,-2.0,0.0,192.0,118.0,1508.0,12.78,11.0,,,217.0,335.0,337.6,275.6,98.0,2.0,7.0
Drew Brees,NOR,QB,33.0,16.0,16.0,422.0,670.0,5177.0,43.0,19.0,15.0,5.0,0.33,1.0,0.0,0.0,0.0,,0.0,,,346.0,346.0,368.6,364.6,95.0,1.0,8.0
Aaron Rodgers,GNB,QB,29.0,16.0,16.0,371.0,552.0,4295.0,39.0,8.0,54.0,259.0,4.8,2.0,1.0,1.0,-1.0,-1.0,0.0,,1.0,344.0,345.0,362.6,352.1,93.0,2.0,9.0
Ray Rice,BAL,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,257.0,1143.0,4.45,9.0,83.0,61.0,478.0,7.84,1.0,,,222.0,283.0,289.1,252.6,92.0,6.0,10.0
Tom Brady,NWE,QB,35.0,16.0,16.0,401.0,637.0,4827.0,34.0,8.0,23.0,32.0,1.39,4.0,0.0,0.0,0.0,,0.0,,,340.0,340.0,351.3,348.3,90.0,3.0,11.0
Dez Bryant,DAL,WR,24.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,-5.0,-2.5,0.0,138.0,92.0,1382.0,15.02,12.0,1.0,,208.0,300.0,304.7,253.7,89.0,3.0,12.0
A.J. Green,CIN,WR,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,38.0,9.5,0.0,164.0,97.0,1350.0,13.92,11.0,,,203.0,300.0,303.8,251.3,84.0,4.0,13.0
C.J. Spiller,BUF,RB,25.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,207.0,1244.0,6.01,6.0,57.0,43.0,459.0,10.67,2.0,,,212.0,255.0,264.3,233.8,82.0,7.0,14.0
Demaryius Thomas,DEN,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,143.0,94.0,1434.0,15.26,10.0,,,197.0,291.0,297.4,244.4,79.0,5.0,15.0
Jamaal Charles,KAN,RB,26.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,285.0,1509.0,5.29,5.0,49.0,35.0,236.0,6.74,1.0,,,205.0,240.0,248.5,222.0,74.0,8.0,16.0
Trent Richardson,CLE,RB,22.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,267.0,950.0,3.56,11.0,70.0,51.0,367.0,7.2,1.0,,,204.0,255.0,260.7,229.2,73.0,9.0,17.0
Cam Newton,CAR,QB,23.0,16.0,16.0,280.0,485.0,3869.0,19.0,12.0,127.0,741.0,5.83,8.0,1.0,0.0,6.0,,0.0,,,323.0,323.0,344.5,335.5,73.0,4.0,18.0
Vincent Jackson,TAM,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,147.0,72.0,1384.0,19.22,8.0,1.0,,188.0,260.0,263.4,224.4,70.0,6.0,19.0
Stevan Ridley,NWE,RB,23.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,290.0,1263.0,4.36,12.0,14.0,6.0,51.0,8.5,0.0,,,199.0,205.0,210.4,202.4,69.0,10.0,20.0
Andre Johnson,HOU,WR,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,162.0,112.0,1598.0,14.27,4.0,,,186.0,296.0,298.8,239.8,67.0,7.0,21.0
Robert Griffin,WAS,QB,22.0,15.0,15.0,258.0,393.0,3200.0,20.0,5.0,120.0,815.0,6.79,7.0,1.0,0.0,0.0,,0.0,,,318.0,318.0,330.5,322.5,67.0,5.0,22.0
Frank Gore,SFO,RB,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,258.0,1214.0,4.71,8.0,36.0,28.0,234.0,8.36,1.0,,,197.0,225.0,237.8,216.8,66.0,11.0,23.0
Eric Decker,DEN,WR,25.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,122.0,85.0,1064.0,12.52,13.0,,,184.0,269.0,272.4,226.9,66.0,8.0,24.0
Julio Jones,ATL,WR,23.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,5.0,0.0,128.0,79.0,1198.0,15.16,10.0,,,183.0,262.0,264.8,222.3,64.0,9.0,25.0
Peyton Manning,DEN,QB,36.0,16.0,16.0,400.0,583.0,4659.0,37.0,11.0,23.0,6.0,0.26,0.0,0.0,0.0,0.0,,0.0,,1.0,311.0,311.0,327.0,322.0,60.0,6.0,26.0
Roddy White,ATL,WR,31.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,142.0,92.0,1351.0,14.68,7.0,,,177.0,269.0,272.1,223.1,59.0,10.0,27.0
Jimmy Graham,NOR,TE,26.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,135.0,85.0,982.0,11.55,9.0,,,152.0,237.0,240.2,194.7,56.0,1.0,28.0
Matt Ryan,ATL,QB,27.0,16.0,16.0,422.0,615.0,4719.0,32.0,14.0,34.0,141.0,4.15,1.0,0.0,0.0,0.0,,0.0,,,305.0,305.0,326.9,318.9,54.0,7.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wes Welker,NWE,WR,31.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,10.0,0.0,174.0,118.0,1354.0,11.47,6.0,,,171.0,289.0,293.4,230.4,53.0,11.0,30.0
Marques Colston,NOR,WR,29.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,130.0,83.0,1154.0,13.9,10.0,,,171.0,254.0,259.4,212.9,53.0,12.0,31.0
Victor Cruz,NYG,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,143.0,86.0,1092.0,12.7,10.0,,,169.0,255.0,258.2,212.2,51.0,13.0,32.0
Rob Gronkowski,NWE,TE,23.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,79.0,55.0,790.0,14.36,11.0,,,143.0,198.0,202.0,170.5,47.0,2.0,33.0
Matt Forte,CHI,RB,27.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,248.0,1094.0,4.41,5.0,59.0,44.0,340.0,7.73,1.0,,,177.0,221.0,228.4,199.4,47.0,12.0,34.0
Michael Crabtree,SFO,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,0.0,127.0,85.0,1105.0,13.0,9.0,,,165.0,250.0,253.3,207.8,47.0,14.0,35.0
Tony Gonzalez,ATL,TE,36.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,124.0,93.0,930.0,10.0,8.0,,,141.0,234.0,237.0,187.5,45.0,3.0,36.0
Chris Johnson,TEN,RB,27.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,276.0,1243.0,4.5,6.0,49.0,36.0,232.0,6.44,0.0,,,176.0,212.0,221.5,193.5,45.0,13.0,37.0
Reggie Wayne,IND,WR,34.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,-5.0,0.0,195.0,106.0,1355.0,12.78,5.0,,,163.0,269.0,273.0,216.0,45.0,15.0,38.0
James Jones,GNB,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,98.0,64.0,784.0,12.25,14.0,,,162.0,226.0,229.4,194.4,44.0,16.0,39.0
Reggie Bush,MIA,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,227.0,986.0,4.34,6.0,52.0,35.0,292.0,8.34,2.0,,,172.0,207.0,214.8,189.3,41.0,14.0,40.0
Shonn Greene,NYJ,RB,27.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,276.0,1063.0,3.85,8.0,30.0,19.0,151.0,7.95,0.0,,,167.0,186.0,193.4,176.9,37.0,15.0,41.0
Mike Williams,TAM,WR,25.0,16.0,16.0,1.0,1.0,28.0,0.0,0.0,0.0,0.0,,0.0,126.0,63.0,996.0,15.81,9.0,,,155.0,218.0,220.7,186.2,36.0,17.0,42.0
Heath Miller,PIT,TE,30.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,101.0,71.0,816.0,11.49,8.0,1.0,,132.0,203.0,205.6,167.1,36.0,4.0,43.0
Steven Jackson,STL,RB,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,258.0,1045.0,4.05,4.0,53.0,38.0,321.0,8.45,0.0,1.0,,163.0,201.0,206.6,181.6,32.0,16.0,44.0
Tony Romo,DAL,QB,32.0,16.0,16.0,425.0,648.0,4903.0,28.0,19.0,30.0,49.0,1.63,1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,279.0,280.0,304.9,298.4,28.0,8.0,45.0
Russell Wilson,SEA,QB,24.0,16.0,16.0,252.0,393.0,3118.0,26.0,10.0,94.0,489.0,5.2,4.0,0.0,0.0,0.0,,0.0,,1.0,278.0,278.0,296.6,287.6,27.0,9.0,46.0
Michael Turner,ATL,RB,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,222.0,800.0,3.6,10.0,30.0,19.0,128.0,6.74,1.0,,,157.0,176.0,182.8,166.3,26.0,17.0,47.0
Jason Witten,DAL,TE,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,147.0,110.0,1039.0,9.45,3.0,,,122.0,232.0,234.9,176.9,26.0,5.0,48.0
Andrew Luck,IND,QB,23.0,16.0,16.0,339.0,627.0,4374.0,23.0,18.0,62.0,255.0,4.11,5.0,0.0,0.0,0.0,,0.0,,,276.0,276.0,305.5,294.5,26.0,10.0,49.0
Ahmad Bradshaw,NYG,RB,26.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,221.0,1015.0,4.59,6.0,31.0,23.0,245.0,10.65,0.0,,,156.0,179.0,188.0,167.5,26.0,18.0,50.0
Matthew Stafford,DET,QB,24.0,16.0,16.0,435.0,727.0,4967.0,20.0,17.0,35.0,126.0,3.6,4.0,1.0,1.0,3.0,3.0,0.0,,1.0,276.0,277.0,303.6,293.1,25.0,11.0,51.0
Randall Cobb,GNB,RB,22.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,132.0,13.2,0.0,104.0,80.0,954.0,11.93,8.0,,,155.0,235.0,247.6,200.6,24.0,19.0,52.0
Steve Smith,CAR,WR,33.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,9.0,0.0,137.0,73.0,1174.0,16.08,4.0,,,142.0,215.0,219.1,178.6,24.0,18.0,53.0
Lance Moore,NOR,WR,29.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,104.0,65.0,1041.0,16.02,6.0,,,140.0,205.0,208.1,172.6,22.0,19.0,54.0
BenJarvus Green-Ellis,CIN,RB,27.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,278.0,1094.0,3.94,6.0,30.0,22.0,104.0,4.73,0.0,,,152.0,174.0,181.8,162.8,21.0,20.0,55.0
Steve Johnson,BUF,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,148.0,79.0,1046.0,13.24,6.0,,,139.0,218.0,221.6,178.1,20.0,20.0,56.0
