,Player,POS,year,1,2,3,4,5,6,7
0,Aaron Rodgers,QB,2018,27.8,18.9,22.6,22.0,35.1,32.7,0.0
1,Alex Smith,QB,2018,22.2,16.0,21.0,0.0,20.5,17.5,14.5
2,Andrew Luck,QB,2018,24.7,17.2,15.5,40.3,30.3,31.8,24.3
3,Andy Dalton,QB,2018,21.0,29.3,25.6,30.2,17.4,19.5,11.4
4,Baker Mayfield,QB,2018,0.0,0.0,9.9,23.8,23.4,16.7,23.1
5,Ben Roethlisberger,QB,2018,22.4,41.5,29.6,17.6,26.1,22.4,0.0
6,Blaine Gabbert,QB,2018,5.9,10.1,0.4,0.0,0.0,0.0,0.0
7,Blake Bortles,QB,2018,17.0,38.4,10.5,30.2,34.9,13.7,6.1
8,Brian Hoyer,QB,2018,0.0,0.0,0.0,-0.3,0.0,0.0,0.0
9,Brock Osweiler,QB,2018,0.0,0.0,0.0,6.5,0.0,31.8,20.2
10,C.J. Beathard,QB,2018,0.0,0.0,0.0,24.8,32.2,22.4,13.8
11,Cam Newton,QB,2018,19.9,33.0,31.1,0.0,22.8,26.1,26.4
12,Carson Wentz,QB,2018,0.0,0.0,17.8,26.2,26.2,27.3,23.8
13,Case Keenum,QB,2018,28.5,18.7,9.6,12.3,26.9,24.7,12.5
14,Chad Kelly,QB,2018,0.0,0.0,0.0,0.0,0.0,-0.1,0.0
15,Chase Daniel,QB,2018,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
16,Cody Kessler,QB,2018,0.0,0.0,0.0,0.0,0.0,0.0,12.6
17,Dak Prescott,QB,2018,10.4,16.5,14.5,21.0,17.8,31.4,27.0
18,DeShone Kizer,QB,2018,2.8,0.0,0.0,0.0,0.0,0.0,0.0
19,Derek Anderson,QB,2018,0.0,0.0,0.0,0.0,0.0,0.0,8.8
20,Derek Carr,QB,2018,15.3,18.4,21.1,38.0,17.9,10.2,0.0
21,Deshaun Watson,QB,2018,16.8,27.9,30.9,36.9,26.8,13.1,12.3
22,Drew Brees,QB,2018,34.0,20.1,44.5,10.8,30.3,0.0,18.9
23,Eli Manning,QB,2018,11.4,18.4,22.8,17.3,24.5,14.1,0.0
24,Geno Smith,QB,2018,0.0,-0.1,0.0,0.0,0.0,0.2,0.0
25,Jacoby Brissett,QB,2018,0.0,0.0,0.0,0.0,0.0,0.0,-0.4
26,Jameis Winston,QB,2018,0.0,0.0,0.0,12.0,0.0,38.9,29.8
27,Jared Goff,QB,2018,19.6,21.9,31.1,44.0,21.6,11.5,18.5
28,Jeff Driskel,QB,2018,0.0,0.0,0.0,0.0,0.0,0.0,2.5
29,Jimmy Garoppolo,QB,2018,17.7,18.7,22.9,0.0,0.0,0.0,0.0
30,Joe Flacco,QB,2018,24.1,27.6,18.1,25.9,16.2,16.3,22.4
31,Josh Allen,QB,2018,6.3,19.5,29.7,9.5,12.0,6.2,0.0
32,Josh Rosen,QB,2018,0.0,0.0,3.0,14.3,12.2,12.0,15.1
33,Joshua Dobbs,QB,2018,0.0,0.0,0.0,0.0,-0.3,0.0,0.0
34,Kirk Cousins,QB,2018,22.8,37.8,19.0,35.9,19.2,23.1,20.0
35,Lamar Jackson,QB,2018,5.1,0.6,0.0,1.7,1.0,2.2,7.2
36,Marcus Mariota,QB,2018,6.7,0.0,10.1,35.8,7.5,8.4,19.7
37,Matt Cassel,QB,2018,0.6,0.0,0.0,0.0,0.0,0.0,0.0
38,Matt Ryan,QB,2018,13.4,35.4,39.9,33.5,19.3,31.0,0.0
39,Matt Schaub,QB,2018,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,Matthew Stafford,QB,2018,18.9,30.2,22.1,23.9,17.1,0.0,19.8
41,Mitchell Trubisky,QB,2018,17.8,20.4,11.8,47.0,0.0,32.5,38.8
42,Nathan Peterman,QB,2018,1.3,0.0,0.0,0.0,0.0,7.3,0.0
43,Nick Foles,QB,2018,5.8,21.5,0.0,0.0,0.0,0.0,0.0
44,Patrick Mahomes,QB,2018,30.9,42.1,28.4,25.9,23.0,34.5,38.4
45,Philip Rivers,QB,2018,33.2,25.3,19.3,24.2,24.8,18.4,23.2
46,Russell Wilson,QB,2018,27.4,21.0,17.5,10.7,21.9,25.1,0.0
47,Ryan Fitzpatrick,QB,2018,46.5,36.0,35.3,6.3,0.0,0.0,0.0
48,Ryan Tannehill,QB,2018,19.9,20.8,29.1,5.0,15.0,0.0,0.0
49,Sam Bradford,QB,2018,8.4,4.5,15.9,0.0,0.0,0.0,0.0
50,Sam Darnold,QB,2018,17.8,20.8,8.5,13.2,22.4,22.8,22.1
51,Sean Mannion,QB,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.1
52,Taysom Hill,QB,2018,0.0,0.0,3.9,3.3,8.3,0.0,3.5
53,Teddy Bridgewater,QB,2018,0.0,0.0,0.0,0.0,-0.3,0.0,0.0
54,Tom Brady,QB,2018,26.1,20.7,10.9,25.7,35.0,27.2,26.5
55,Tyrod Taylor,QB,2018,27.6,18.9,3.2,0.0,0.0,0.0,0.0
0,Aaron Jones,RB,2018,0.0,0.0,5.7,15.2,7.9,4.1,0.0
1,Adrian Peterson,RB,2018,24.6,8.0,24.0,0.0,6.2,9.7,11.7
2,Alex Armah,RB,2018,6.1,0.0,0.0,0.0,0.0,0.0,0.0
3,Alex Collins,RB,2018,8.9,12.0,16.4,11.5,7.6,17.4,7.8
4,Alfred Blue,RB,2018,9.6,0.0,0.0,0.0,19.9,6.3,0.0
5,Alfred Morris,RB,2018,0.0,10.0,12.7,0.0,12.1,0.0,0.0
6,Alvin Kamara,RB,2018,41.1,15.9,34.0,41.1,6.9,0.0,15.5
7,Andy Janovich,RB,2018,0.0,0.0,0.0,4.2,0.0,0.0,0.0
8,Anthony Sherman,RB,2018,10.6,0.0,0.0,0.0,0.0,0.0,0.0
9,Austin Ekeler,RB,2018,23.6,12.8,10.1,13.6,12.9,6.0,11.8
10,Bilal Powell,RB,2018,7.5,19.0,7.3,9.2,9.9,5.9,3.5
11,C.J. Anderson,RB,2018,0.0,0.0,10.3,0.0,0.0,0.0,0.0
12,C.J. Ham,RB,2018,0.0,0.0,9.7,0.0,0.0,0.0,0.0
13,C.J. Prosise,RB,2018,0.0,5.2,0.0,0.0,0.0,0.0,0.0
14,Carlos Hyde,RB,2018,13.5,12.0,24.3,14.2,9.7,0.0,0.0
15,Chase Edmonds,RB,2018,8.8,7.0,0.0,0.0,0.0,0.0,5.1
16,Chris Carson,RB,2018,10.9,0.0,20.4,0.0,13.7,5.9,0.0
17,Chris Ivory,RB,2018,0.0,10.7,15.6,0.0,0.0,0.0,13.6
18,Chris Thompson,RB,2018,24.8,22.3,0.0,0.0,12.2,0.0,0.0
19,Christian McCaffrey,RB,2018,15.5,27.9,21.4,0.0,20.3,13.6,14.0
20,Corey Clement,RB,2018,0.0,19.5,10.5,0.0,0.0,15.9,4.2
21,Corey Grant,RB,2018,0.0,12.9,0.0,3.7,0.0,0.0,0.0
22,Dalvin Cook,RB,2018,15.5,12.0,0.0,0.0,0.0,0.0,0.0
23,Darren Sproles,RB,2018,7.2,0.0,0.0,0.0,0.0,0.0,0.0
24,David Johnson,RB,2018,17.7,6.1,16.1,20.2,21.1,15.0,10.0
25,Derrick Henry,RB,2018,0.0,5.6,5.7,5.1,5.6,0.0,14.5
26,Devonta Freeman,RB,2018,8.0,0.0,0.0,0.0,6.1,0.0,0.0
27,Devontae Booker,RB,2018,0.0,0.0,9.4,0.0,10.9,4.9,0.0
28,Dion Lewis,RB,2018,22.0,5.3,7.0,15.6,7.8,0.0,21.5
29,Duke Johnson,RB,2018,0.0,0.0,5.3,9.6,5.2,14.9,5.9
30,Ezekiel Elliott,RB,2018,17.6,19.7,16.8,34.0,15.4,18.7,6.2
31,Frank Gore,RB,2018,0.0,5.4,0.0,13.7,6.3,12.9,4.3
32,Giovani Bernard,RB,2018,0.0,8.2,19.6,25.6,0.0,0.0,0.0
33,Gus Edwards,RB,2018,0.0,0.0,0.0,0.0,0.0,4.2,0.0
34,Isaiah Crowell,RB,2018,22.2,5.9,19.1,0.0,30.1,7.2,6.0
35,Ito Smith,RB,2018,0.0,6.4,6.5,13.8,8.0,10.1,0.0
36,Jacquizz Rodgers,RB,2018,0.0,6.6,0.0,0.0,0.0,0.0,2.9
37,Jalen Richard,RB,2018,16.9,0.0,11.9,6.6,11.7,12.1,0.0
38,Jamaal Williams,RB,2018,0.0,10.1,6.5,0.0,7.2,4.9,0.0
39,James Conner,RB,2018,36.2,17.5,14.5,7.4,34.5,28.9,0.0
40,James Develin,RB,2018,6.2,0.0,0.0,0.0,0.0,0.0,0.0
41,James White,RB,2018,15.6,15.4,14.1,31.2,23.7,14.2,29.7
42,Javorius Allen,RB,2018,14.2,15.4,17.6,6.7,13.8,4.9,5.4
43,Jay Ajayi,RB,2018,18.2,9.7,0.0,11.1,0.0,0.0,0.0
44,Joe Mixon,RB,2018,25.9,9.7,0.0,0.0,20.5,18.4,8.1
45,Jordan Howard,RB,2018,15.7,9.8,16.1,0.0,0.0,6.9,11.8
46,Jordan Wilkins,RB,2018,9.1,8.4,0.0,0.0,6.8,0.0,6.4
47,Kapri Bibbs,RB,2018,0.0,0.0,0.0,0.0,6.9,0.0,15.6
48,Kareem Hunt,RB,2018,0.0,15.0,16.4,26.5,16.4,29.5,37.1
49,Kenjon Barner,RB,2018,0.0,0.0,0.0,0.0,0.0,0.0,3.6
50,Kenneth Dixon,RB,2018,10.4,0.0,0.0,0.0,0.0,0.0,0.0
51,Kenyan Drake,RB,2018,9.6,17.0,0.0,0.0,24.5,11.8,18.7
52,Kerryon Johnson,RB,2018,6.7,11.6,13.0,12.6,10.5,0.0,19.9
53,Kyle Juszczyk,RB,2018,6.6,0.0,11.8,3.5,14.7,6.0,3.3
54,Lamar Miller,RB,2018,11.9,9.0,16.1,4.9,0.0,9.1,16.9
55,Latavius Murray,RB,2018,0.0,0.0,8.1,3.8,7.6,22.8,22.3
56,LeGarrette Blount,RB,2018,0.0,0.0,8.5,0.0,14.2,0.0,11.0
57,LeSean McCoy,RB,2018,0.0,10.8,0.0,6.7,12.8,12.4,0.0
58,Leonard Fournette,RB,2018,8.5,0.0,0.0,4.5,0.0,0.0,0.0
59,Malcolm Brown,RB,2018,0.0,0.0,0.0,0.0,0.0,0.0,8.1
60,Marcus Murphy,RB,2018,0.0,0.0,0.0,0.0,0.0,0.0,12.0
61,Mark Ingram,RB,2018,0.0,0.0,0.0,0.0,21.3,0.0,6.2
62,Mark Walton,RB,2018,0.0,0.0,0.0,5.7,0.0,0.0,0.0
63,Marlon Mack,RB,2018,0.0,0.0,0.0,0.0,0.0,10.3,29.9
