TEAM_YEAR,QB_1,RB_1,TE_1,WR_1,WR_2
ARI_2010,89,133,26,242,129
ARI_2011,97,176,72,269,152
ARI_2012,85,87,87,173,175
ARI_2013,217,165,90,236,199
ARI_2014,104,178,22,165,147
ARI_2015,309,210,70,281,208
ARI_2016,243,408,88,244,139
ARI_2017,102,68,77,261,103
ATL_2010,254,228,172,317,104
ATL_2011,274,231,210,278,203
ATL_2012,305,176,234,262,269
ATL_2013,248,148,219,200,150
ATL_2014,284,142,65,297,212
ATL_2015,234,316,131,369,100
ATL_2016,347,284,64,260,140
ATL_2017,228,200,120,252,174
BAL_2010,230,277,129,189,183
BAL_2011,204,375,137,179,163
BAL_2012,235,283,170,183,183
BAL_2013,208,178,83,204,145
BAL_2014,262,247,125,192,220
BAL_2015,162,146,98,197,131
BAL_2016,242,171,169,203,184
BAL_2017,185,171,137,151,102
BUF_2010,201,182,22,248,117
BUF_2011,220,211,112,218,157
BUF_2012,214,255,134,218,109
BUF_2013,133,235,129,120,131
BUF_2014,176,189,115,198,165
BUF_2015,272,179,122,219,118
BUF_2016,271,298,136,119,90
BUF_2017,223,264,117,71,57
CAR_2010,53,109,58,105,111
CAR_2011,369,193,105,265,115
CAR_2012,323,143,183,215,139
CAR_2013,298,164,191,163,143
CAR_2014,249,146,221,226,114
CAR_2015,389,163,227,184,106
CAR_2016,254,146,207,197,159
CAR_2017,299,229,80,195,45
CHI_2010,212,266,109,176,120
CHI_2011,135,223,69,121,100
CHI_2012,185,221,52,335,79
CHI_2013,169,337,169,306,284
CHI_2014,256,347,222,262,179
CHI_2015,226,215,108,159,80
CHI_2016,80,230,120,179,146
CHI_2017,135,200,56,144,126
CIN_2010,223,200,123,224,130
CIN_2011,206,161,151,217,147
CIN_2012,251,174,166,300,131
CIN_2013,288,223,110,307,189
CIN_2014,226,211,138,205,179
CIN_2015,244,170,192,274,174
CIN_2016,261,176,98,186,186
CIN_2017,211,141,124,227,125
CLE_2010,90,297,162,100,78
CLE_2011,154,110,90,145,81
CLE_2012,166,255,117,159,143
CLE_2013,115,114,214,314,100
CLE_2014,157,122,78,159,116
CLE_2015,132,138,237,192,110
CLE_2016,77,205,130,213,93
CLE_2017,176,216,95,66,69
DAL_2010,153,183,249,229,135
DAL_2011,275,145,202,206,207
DAL_2012,280,146,232,300,194
DAL_2013,261,258,206,292,146
DAL_2014,266,351,164,316,147
DAL_2015,41,196,164,154,132
DAL_2016,287,325,152,180,189
DAL_2017,261,203,147,186,111
DEN_2010,214,197,32,286,164
DEN_2011,197,165,61,152,112
DEN_2012,311,139,120,291,269
DEN_2013,412,297,216,319,280
DEN_2014,313,211,164,341,302
DEN_2015,117,161,116,267,224
DEN_2016,192,143,52,226,213
DEN_2017,126,175,35,206,115
DET_2010,159,197,167,265,160
DET_2011,340,117,191,360,174
DET_2012,277,183,130,342,97
DET_2013,279,239,83,303,97
DET_2014,252,198,56,259,227
DET_2015,291,179,131,261,209
DET_2016,280,162,144,223,172
DET_2017,274,154,132,225,225
GNB_2010,302,171,57,272,145
GNB_2011,392,118,180,284,216
GNB_2012,345,235,138,226,168
GNB_2013,169,243,73,264,157
