Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM,YEAR
1,Arian Foster,HOU,RB,327,20.4,"1,616",4.9,101.0,16,74T,89,27.2,12,3,3,2010
2,Maurice Jones-Drew,JAC,RB,299,21.4,"1,324",4.4,94.6,5,37,75,25.1,8,0,2,2010
3,Jamaal Charles,KC,RB,230,14.4,"1,467",6.4,91.7,5,80,70,30.4,10,3,2,2010
4,Darren McFadden,OAK,RB,223,17.2,"1,157",5.2,89.0,7,57T,45,20.2,14,4,3,2010
5,Adrian Peterson,MIN,RB,283,18.9,"1,298",4.6,86.5,12,80T,70,24.7,9,2,1,2010
6,Michael Turner,ATL,RB,334,20.9,"1,371",4.1,85.7,12,55,71,21.3,9,1,2,2010
7,Chris Johnson,TEN,RB,316,19.8,"1,364",4.3,85.2,11,76T,55,17.4,13,4,2,2010
8,Rashard Mendenhall,PIT,RB,324,20.2,"1,273",3.9,79.6,13,50T,61,18.8,11,1,2,2010
9,Steven Jackson,STL,RB,330,20.6,"1,241",3.8,77.6,6,42T,60,18.2,7,1,1,2010
10,Frank Gore,SF,RB,203,18.5,853,4.2,77.5,3,64,42,20.7,6,1,3,2010
11,LeGarrette Blount,TB,RB,201,15.5,"1,007",5.0,77.5,6,53,38,18.9,10,3,3,2010
12,Ahmad Bradshaw,NYG,RB,276,17.2,"1,235",4.5,77.2,8,48T,61,22.1,13,2,7,2010
13,Ray Rice,BAL,RB,307,19.2,"1,220",4.0,76.2,5,50,51,16.6,4,1,0,2010
14,Ryan Torain,WAS,RB,164,16.4,742,4.5,74.2,4,54,35,21.3,7,1,2,2010
15,Peyton Hillis,CLE,RB,270,16.9,"1,177",4.4,73.6,11,48,57,21.1,5,1,8,2010
16,LeSean McCoy,PHI,RB,207,13.8,"1,080",5.2,72.0,7,62,48,23.2,7,5,1,2010
17,Cedric Benson,CIN,RB,321,20.1,"1,111",3.5,69.4,7,26,59,18.4,2,0,7,2010
18,Matt Forte,CHI,RB,237,14.8,"1,069",4.5,66.8,6,68T,42,17.7,9,2,0,2010
19,BenJarvus Green-Ellis,NE,RB,229,14.3,"1,008",4.4,63.0,13,33T,62,27.1,4,0,0,2010
20,Joseph Addai,IND,RB,116,14.5,495,4.3,61.9,4,46,31,26.7,1,1,2,2010
21,LaDainian Tomlinson,NYJ,RB,219,14.6,914,4.2,60.9,6,31,42,19.2,5,0,2,2010
22,DeAngelo Williams,CAR,RB,87,14.5,361,4.1,60.2,1,39T,12,13.8,4,0,1,2010
23,Knowshon Moreno,DEN,RB,182,14.0,779,4.3,59.9,5,35,34,18.7,3,0,3,2010
24,Chris Ivory,NO,RB,137,11.4,716,5.2,59.7,5,55T,44,32.1,5,1,4,2010
25,Fred Jackson,BUF,RB,222,13.9,927,4.2,57.9,5,39,42,18.9,6,0,4,2010
26,Dominic Rhodes,IND,RB,37,12.3,172,4.6,57.3,0,15,8,21.6,0,0,1,2010
27,Ryan Mathews,SD,RB,158,13.2,678,4.3,56.5,7,31T,25,15.8,4,0,4,2010
28,Thomas Jones,KC,RB,245,15.3,896,3.7,56.0,6,70,39,15.9,3,1,3,2010
29,Jonathan Stewart,CAR,RB,178,12.7,770,4.3,55.0,2,48,32,18.0,5,2,4,2010
30,Brandon Jacobs,NYG,RB,147,9.2,823,5.6,51.4,9,73,39,26.5,10,1,2,2010
31,Shonn Greene,NYJ,RB,185,12.3,766,4.1,51.1,2,23T,40,21.6,1,0,2,2010
32,Felix Jones,DAL,RB,185,11.6,800,4.3,50.0,1,34,44,23.8,3,0,1,2010
33,Mike Tolbert,SD,RB,182,12.1,735,4.0,49.0,11,36,42,23.1,6,0,5,2010
34,Marshawn Lynch,SEA,RB,165,13.8,573,3.5,47.8,6,39,29,17.6,5,0,1,2010
35,Michael Bush,OAK,RB,158,11.3,655,4.1,46.8,8,30,32,20.3,5,0,0,2010
36,Tim Hightower,ARI,RB,153,9.6,736,4.8,46.0,5,80T,30,19.6,8,2,4,2010
37,Ronnie Brown,MIA,RB,200,12.5,734,3.7,45.9,5,51,40,20.0,1,1,3,2010
