Rk,Player,Team,Pos,Rec,Yds,Avg,Yds/G,Lng,TD,20+,40+,1st,1st%,FUM,YEAR
1,Jason Witten,DAL,TE,94,"1,002",10.7,62.6,33,9,13,0,49,52.1,1,2010
2,Chris Cooley,WAS,TE,77,849,11.0,53.1,35,3,9,0,40,51.9,3,2010
3,Brandon Pettigrew,DET,TE,71,722,10.2,45.1,35,4,8,0,35,49.3,0,2010
4,Tony Gonzalez,ATL,TE,70,656,9.4,41.0,34,6,5,0,39,55.7,0,2010
5,Benjamin Watson,CLE,TE,68,763,11.2,47.7,44,3,10,1,40,58.8,0,2010
6,Jacob Tamme,IND,TE,67,631,9.4,39.4,30,4,5,0,35,52.2,0,2010
7,Kellen Winslow,TB,TE,66,730,11.1,45.6,41T,5,10,2,36,54.5,1,2010
8,Zach Miller,OAK,TE,60,685,11.4,45.7,43T,5,11,1,36,60.0,1,2010
9,Marcedes Lewis,JAC,TE,58,700,12.1,43.8,42T,10,9,1,37,63.8,2,2010
10,Vernon Davis,SF,TE,56,914,16.3,57.1,66T,7,16,5,35,62.5,0,2010
11,Dustin Keller,NYJ,TE,55,687,12.5,42.9,41,5,11,2,33,60.0,0,2010
12,Jermaine Gresham,CIN,TE,52,471,9.1,31.4,27,4,5,0,25,48.1,2,2010
13,Antonio Gates,SD,TE,50,782,15.6,78.2,48T,10,15,1,42,84.0,0,2010
14,Tony Moeaki,KC,TE,47,556,11.8,37.1,34,3,6,0,31,66.0,0,2010
14,Visanthe Shiancoe,MIN,TE,47,530,11.3,33.1,33,2,8,0,21,44.7,0,2010
16,Aaron Hernandez,NE,TE,45,563,12.5,40.2,46,6,9,2,27,60.0,0,2010
16,Tony Scheffler,DET,TE,45,378,8.4,25.2,25,1,2,0,24,53.3,1,2010
18,Brent Celek,PHI,TE,42,511,12.2,31.9,65T,4,8,1,23,54.8,0,2010
18,Rob Gronkowski,NE,TE,42,546,13.0,34.1,28,10,11,0,30,71.4,1,2010
18,Heath Miller,PIT,TE,42,512,12.2,36.6,36,2,6,0,24,57.1,1,2010
21,Daniel Fells,STL,TE,41,391,9.5,24.4,36,2,4,0,24,58.5,0,2010
21,Greg Olsen,CHI,TE,41,404,9.9,25.2,39T,5,3,0,22,53.7,2,2010
21,Jeremy Shockey,NO,TE,41,408,10.0,31.4,31,3,3,0,22,53.7,0,2010
24,Todd Heap,BAL,TE,40,599,15.0,46.1,65T,5,7,1,30,75.0,1,2010
25,Anthony Fasano,MIA,TE,39,528,13.5,35.2,31,4,9,0,29,74.4,0,2010
26,Owen Daniels,HOU,TE,38,471,12.4,42.8,31,2,8,0,25,65.8,0,2010
27,Dallas Clark,IND,TE,37,347,9.4,57.8,50T,3,3,1,21,56.8,0,2010
28,Joel Dreessen,HOU,TE,36,518,14.4,32.4,43T,4,9,2,24,66.7,1,2010
28,Bo Scaife,TEN,TE,36,318,8.8,22.7,30,4,4,0,17,47.2,2,2010
30,Kevin Boss,NYG,TE,35,531,15.2,35.4,54,5,9,1,22,62.9,1,2010
31,Martellus Bennett,DAL,TE,33,260,7.9,16.2,32,0,1,0,12,36.4,1,2010
32,Dante Rosario,CAR,TE,32,264,8.3,16.5,26,0,2,0,15,46.9,0,2010
33,John Carlson,SEA,TE,31,318,10.3,21.2,37,1,4,0,12,38.7,0,2010
33,Jimmy Graham,NO,TE,31,356,11.5,23.7,52,5,3,1,21,67.7,1,2010
35,David Thomas,NO,TE,30,219,7.3,16.8,22,2,1,0,11,36.7,0,2010
36,Jared Cook,TEN,TE,29,361,12.4,22.6,36,1,6,0,18,62.1,0,2010
36,Delanie Walker,SF,TE,29,331,11.4,23.6,38,0,5,0,13,44.8,1,2010
38,Fred Davis,WAS,TE,21,316,15.0,19.8,71,3,4,2,11,52.4,0,2010
38,Jermichael Finley,GB,TE,21,301,14.3,60.2,34,1,7,0,12,57.1,0,2010
38,Andrew Quarless,GB,TE,21,238,11.3,18.3,23,1,3,0,13,61.9,1,2010
41,Randy McMichael,SD,TE,20,221,11.0,13.8,28,2,3,0,15,75.0,0,2010
41,Zach Miller,JAC,TE,20,216,10.8,14.4,52T,1,1,1,10,50.0,0,2010
43,Jeff King,CAR,TE,19,121,6.4,7.6,16T,2,0,0,8,42.1,0,2010
44,Daniel Graham,DEN,TE,18,148,8.2,9.2,28,0,3,0,5,27.8,1,2010
45,Jimmy Kleinsasser,MIN,TE,17,148,8.7,9.2,20,0,3,0,6,35.3,0,2010
46,Evan Moore,CLE,TE,16,322,20.1,26.8,49,1,7,1,11,68.8,1,2010
47,Ben Patrick,ARI,TE,15,123,8.2,8.2,21,0,1,0,5,33.3,1,2010
48,Billy Bajema,STL,TE,14,145,10.4,11.2,26T,2,2,0,8,57.1,1,2010
49,Travis Beckum,NYG,TE,13,116,8.9,7.2,29,2,2,0,7,53.8,0,2010
49,John Gilmore,TB,TE,13,160,12.3,10.0,30,1,2,0,9,69.2,0,2010
1,Jimmy Graham,NO,TE,99,"1,310",13.2,81.9,59,11,18,2,74,74.7,1,2011
2,Rob Gronkowski,NE,TE,90,"1,327",14.7,82.9,52T,17,22,3,69,76.7,0,2011
3,Brandon Pettigrew,DET,TE,83,777,9.4,48.6,27,5,7,0,37,44.6,0,2011
4,Tony Gonzalez,ATL,TE,80,875,10.9,54.7,30,7,8,0,53,66.3,0,2011
5,Aaron Hernandez,NE,TE,79,910,11.5,65.0,46,7,12,2,46,58.2,1,2011
