Rk,Player,Team,Pos,Rec,Yds,Avg,Yds/G,Lng,TD,20+,40+,1st,1st%,FUM,YEAR
1,Roddy White,ATL,WR,115,"1,389",12.1,86.8,46,10,15,3,73,63.5,1,2010
2,Reggie Wayne,IND,WR,111,"1,355",12.2,84.7,50,6,13,4,72,64.9,1,2010
3,Santana Moss,WAS,WR,93,"1,115",12.0,69.7,56,6,9,3,61,65.6,3,2010
4,Larry Fitzgerald,ARI,WR,90,"1,137",12.6,71.1,41,6,14,1,59,65.6,0,2010
5,Andre Johnson,HOU,WR,86,"1,216",14.1,93.5,60,8,18,5,59,68.6,1,2010
5,Brandon Marshall,MIA,WR,86,"1,014",11.8,72.4,46,3,9,2,57,66.3,2,2010
5,Wes Welker,NE,WR,86,848,9.9,56.5,35,7,6,0,47,54.7,0,2010
8,Danny Amendola,STL,WR,85,689,8.1,43.1,36,3,2,0,35,41.2,1,2010
9,Marques Colston,NO,WR,84,"1,023",12.2,68.2,43,7,12,1,57,67.9,0,2010
10,Steve Johnson,BUF,WR,82,"1,073",13.1,67.1,45,10,11,2,61,74.4,1,2010
11,Davone Bess,MIA,WR,79,820,10.4,51.2,29,5,8,0,43,54.4,0,2010
11,Hakeem Nicks,NYG,WR,79,"1,052",13.3,80.9,46T,11,20,1,55,69.6,1,2010
13,Calvin Johnson,DET,WR,77,"1,120",14.5,74.7,87T,12,16,3,57,74.0,1,2010
13,Brandon Lloyd,DEN,WR,77,"1,448",18.8,90.5,71,11,23,9,72,93.5,0,2010
15,Greg Jennings,GB,WR,76,"1,265",16.6,79.1,86T,12,21,6,52,68.4,2,2010
16,Dwayne Bowe,KC,WR,72,"1,162",16.1,72.6,75T,15,19,4,55,76.4,1,2010
16,Terrell Owens,CIN,WR,72,983,13.7,70.2,78T,9,15,3,47,65.3,0,2010
18,Percy Harvin,MIN,WR,71,868,12.2,62.0,53T,5,14,2,41,57.7,0,2010
19,Jeremy Maclin,PHI,WR,70,964,13.8,60.2,83T,10,13,4,45,64.3,1,2010
20,Miles Austin,DAL,WR,69,"1,041",15.1,65.1,69T,7,17,2,50,72.5,1,2010
21,Pierre Garcon,IND,WR,67,784,11.7,56.0,57T,6,7,2,41,61.2,0,2010
21,Chad Johnson,CIN,WR,67,831,12.4,59.4,42,4,8,1,47,70.1,0,2010
23,Lance Moore,NO,WR,66,763,11.6,47.7,80T,8,7,2,40,60.6,1,2010
23,Mike Thomas,JAC,WR,66,820,12.4,51.2,50T,4,13,1,38,57.6,0,2010
25,Jabar Gaffney,DEN,WR,65,875,13.5,54.7,50,2,12,2,42,64.6,1,2010
25,Mike Williams,SEA,WR,65,751,11.6,53.6,68,2,8,1,40,61.5,0,2010
25,Mike Williams,TB,WR,65,964,14.8,60.2,58T,11,18,2,44,67.7,3,2010
28,Anquan Boldin,BAL,WR,64,837,13.1,52.3,61,7,10,1,43,67.2,1,2010
29,Derrick Mason,BAL,WR,61,802,13.1,50.1,42,7,9,2,44,72.1,0,2010
30,Mario Manningham,NYG,WR,60,944,15.7,59.0,92T,9,19,4,32,53.3,1,2010
30,Mike Wallace,PIT,WR,60,"1,257",21.0,78.6,56T,10,26,10,48,80.0,1,2010
32,Eddie Royal,DEN,WR,59,627,10.6,39.2,41,3,8,1,32,54.2,1,2010
32,Hines Ward,PIT,WR,59,755,12.8,47.2,43,5,14,1,35,59.3,1,2010
34,Austin Collie,IND,WR,58,649,11.2,72.1,73T,8,9,2,32,55.2,1,2010
35,Nate Burleson,DET,WR,55,625,11.4,44.6,58,6,8,1,32,58.2,2,2010
35,Michael Crabtree,SF,WR,55,741,13.5,46.3,60T,6,10,1,40,72.7,0,2010
37,Braylon Edwards,NYJ,WR,53,904,17.1,56.5,74T,7,14,5,40,75.5,1,2010
37,Brandon Gibson,STL,WR,53,620,11.7,44.3,41,2,6,1,33,62.3,0,2010
39,Santonio Holmes,NYJ,WR,52,746,14.3,62.2,52,6,11,3,36,69.2,0,2010
39,Jordan Shipley,CIN,WR,52,600,11.5,40.0,64T,3,7,2,30,57.7,0,2010
41,Jason Avant,PHI,WR,51,573,11.2,35.8,34,1,8,0,31,60.8,0,2010
41,Donald Driver,GB,WR,51,565,11.1,37.7,61T,4,6,2,29,56.9,1,2010
41,Jacoby Jones,HOU,WR,51,562,11.0,37.5,47,3,6,1,31,60.8,1,2010
41,Johnny Knox,CHI,WR,51,960,18.8,60.0,67T,5,17,4,43,84.3,1,2010
41,Kevin Walter,HOU,WR,51,621,12.2,38.8,35,5,8,0,33,64.7,0,2010
46,James Jones,GB,WR,50,679,13.6,42.4,66T,5,8,2,33,66.0,3,2010
47,Deion Branch,NE,WR,48,706,14.7,64.2,79T,5,9,2,36,75.0,0,2010
47,Steve Smith,NYG,WR,48,529,11.0,58.8,45,3,4,1,29,60.4,0,2010
49,Steve Breaston,ARI,WR,47,718,15.3,55.2,37,1,15,0,32,68.1,0,2010
49,DeSean Jackson,PHI,WR,47,"1,056",22.5,75.4,91T,6,21,8,33,70.2,2,2010
1,Wes Welker,NE,WR,122,"1,569",12.9,98.1,99T,9,21,4,77,63.1,0,2011
2,Roddy White,ATL,WR,100,"1,296",13.0,81.0,43,8,18,1,77,77.0,0,2011
3,Calvin Johnson,DET,WR,96,"1,681",17.5,105.1,73T,16,32,10,77,80.2,1,2011
4,Percy Harvin,MIN,WR,87,967,11.1,60.4,52T,6,14,2,45,51.7,2,2011
5,Victor Cruz,NYG,WR,82,"1,536",18.7,96.0,99T,9,25,9,59,72.0,1,2011
6,Dwayne Bowe,KC,WR,81,"1,159",14.3,72.4,52T,5,19,3,57,70.4,1,2011
6,Brandon Marshall,MIA,WR,81,"1,214",15.0,75.9,65T,6,20,4,53,65.4,1,2011
8,Marques Colston,NO,WR,80,"1,143",14.3,81.6,50,8,15,2,55,68.8,1,2011
8,Larry Fitzgerald,ARI,WR,80,"1,411",17.6,88.2,73T,8,25,8,61,76.3,0,2011
10,Steve Smith,CAR,WR,79,"1,394",17.6,87.1,77T,7,29,5,53,67.1,3,2011
11,Steve Johnson,BUF,WR,76,"1,004",13.2,62.8,55,7,13,4,45,59.2,0,2011
11,Hakeem Nicks,NYG,WR,76,"1,192",15.7,79.5,68,7,17,5,54,71.1,0,2011
13,Reggie Wayne,IND,WR,75,960,12.8,60.0,56T,4,12,2,50,66.7,0,2011
14,Nate Washington,TEN,WR,74,"1,023",13.8,63.9,57,7,13,6,47,63.5,0,2011
15,Nate Burleson,DET,WR,73,757,10.4,47.3,47,3,7,1,36,49.3,1,2011
16,Michael Crabtree,SF,WR,72,874,12.1,58.3,52T,4,12,3,40,55.6,0,2011
16,Mike Wallace,PIT,WR,72,"1,193",16.6,74.6,95T,8,18,7,54,75.0,1,2011
18,Pierre Garcon,IND,WR,70,947,13.5,59.2,87T,6,9,4,42,60.0,2,2011
19,Antonio Brown,PIT,WR,69,"1,108",16.1,69.2,79T,2,18,3,57,82.6,0,2011
20,Jabar Gaffney,WAS,WR,68,947,13.9,59.2,45,5,14,1,50,73.5,1,2011
20,Jordy Nelson,GB,WR,68,"1,263",18.6,78.9,93T,15,19,7,47,69.1,0,2011
22,Greg Jennings,GB,WR,67,949,14.2,73.0,79T,9,13,3,43,64.2,0,2011
23,A.J. Green,CIN,WR,65,"1,057",16.3,70.5,58,7,19,7,43,66.2,0,2011
23,Mike Williams,TB,WR,65,771,11.9,48.2,42,3,9,1,41,63.1,2,2011
25,Darrius Heyward-Bey,OAK,WR,64,975,15.2,65.0,58,4,14,3,44,68.8,1,2011
26,Dez Bryant,DAL,WR,63,928,14.7,61.9,50T,9,17,2,48,76.2,1,2011
26,Jeremy Maclin,PHI,WR,63,859,13.6,66.1,59,5,15,2,43,68.3,1,2011
28,Steve Breaston,KC,WR,61,785,12.9,49.1,43,2,9,2,39,63.9,0,2011
28,Greg Little,CLE,WR,61,709,11.6,44.3,76T,2,6,2,35,57.4,0,2011
28,David Nelson,BUF,WR,61,658,10.8,41.1,35,5,7,0,32,52.5,0,2011
31,Vincent Jackson,SD,WR,60,"1,106",18.4,69.1,58,9,21,4,54,90.0,0,2011
32,DeSean Jackson,PHI,WR,58,961,16.6,64.1,62T,4,15,5,39,67.2,0,2011
