Rk,Player,Team,Pos,FGM,FG Att,FG_Pct,Blk,Lng,1-19_A-M,1-19_Pct,20-29_A-M,20-29_Pct,30-39_A-M,30-39_Pct,40-49_A-M,40-49_Pct,50+_A-M,50+_Pct,XPM,XP Att,XP_Pct,Blk,YEAR
1,Josh Brown,STL,K,33,39,85,2,53,0-0,0,12-11,92,14-12,86,9-7,78,4-3,75,26,27,96,0,2010.0
1,Sebastian Janikowski,OAK,K,33,41,80,0,59,0-0,0,8-8,100,14-13,93,12-8,67,7-4,57,43,43,100,0,2010.0
3,David Akers,PHI,K,32,38,84,1,50,0-0,0,12-12,100,12-10,83,11-9,82,3-1,33,47,47,100,0,2010.0
4,Dan Carpenter,MIA,K,30,41,73,2,60,1-1,100,9-9,100,5-5,100,18-11,61,8-4,50,25,25,100,0,2010.0
4,Nick Folk,NYJ,K,30,39,77,1,56,1-1,100,11-10,91,16-14,88,6-3,50,5-2,40,37,37,100,0,2010.0
6,Matt Bryant,ATL,K,28,31,90,1,51,0-0,0,11-11,100,9-8,89,10-8,80,1-1,100,44,44,100,0,2010.0
7,Neil Rackers,HOU,K,27,30,90,0,57,0-0,0,8-8,100,11-11,100,7-5,71,4-3,75,43,43,100,0,2010.0
8,Billy Cundiff,BAL,K,26,29,90,0,49,0-0,0,11-11,100,9-8,89,8-7,88,1-0,0,39,39,100,0,2010.0
8,Adam Vinatieri,IND,K,26,28,93,1,48,0-0,0,8-8,100,10-9,90,10-9,90,0-0,0,51,51,100,0,2010.0
10,Robbie Gould,CHI,K,25,30,83,1,54,1-1,100,9-9,100,9-8,89,7-4,57,4-3,75,35,35,100,0,2010.0
10,John Kasay,CAR,K,25,29,86,0,55,0-0,0,9-9,100,2-2,100,14-11,79,4-3,75,17,17,100,0,2010.0
10,Olindo Mare,SEA,K,25,30,83,0,51,2-2,100,12-10,83,7-7,100,7-5,71,2-1,50,31,31,100,0,2010.0
13,Rob Bironas,TEN,K,24,26,92,0,55,0-0,0,6-6,100,9-8,89,8-8,100,3-2,67,38,38,100,0,2010.0
13,David Buehler,DAL,K,24,32,75,0,53,0-0,0,8-8,100,7-4,57,11-8,73,6-4,67,42,44,96,1,2010.0
13,Jay Feely,ARI,K,24,27,89,0,55,0-0,0,8-8,100,6-6,100,10-8,80,3-2,67,29,29,100,0,2010.0
13,Graham Gano,WAS,K,24,35,69,1,49,1-1,100,10-8,80,7-4,57,14-11,79,3-0,0,28,28,100,0,2010.0
17,Connor Barth,TB,K,23,28,82,2,53,0-0,0,6-6,100,10-10,100,10-6,60,2-1,50,36,36,100,0,2010.0
17,Phil Dawson,CLE,K,23,28,82,0,48,3-3,100,7-7,100,10-10,100,5-3,60,3-0,0,28,28,100,0,2010.0
17,Nate Kaeding,SD,K,23,28,82,1,50,0-0,0,6-6,100,8-7,88,10-9,90,4-1,25,40,40,100,0,2010.0
