,PLAYER,POS,PROJECTION
0,Le'Veon Bell,RB,351.8
1,Todd Gurley II,RB,329.4
2,David Johnson,RB,325.4
3,Antonio Brown,WR,322.2
4,Tom Brady,QB,317.0
5,Aaron Rodgers,QB,316.2
6,Cam Newton,QB,302.9
7,Ezekiel Elliott,RB,302.8
8,Russell Wilson,QB,294.0
9,Julio Jones,WR,291.9
10,Alvin Kamara,RB,290.8
11,Alex Smith,QB,288.3
12,Andrew Luck,QB,287.2
13,Carson Wentz,QB,284.2
14,Saquon Barkley,RB,281.6
15,DeAndre Hopkins,WR,281.2
16,Keenan Allen,WR,278.9
17,Matthew Stafford,QB,278.8
18,Michael Thomas,WR,278.5
19,Deshaun Watson,QB,278.1
20,Kirk Cousins,QB,278.0
21,Odell Beckham Jr.,WR,277.8
22,Ben Roethlisberger,QB,275.7
23,Philip Rivers,QB,273.5
24,Matt Ryan,QB,273.0
25,Drew Brees,QB,272.4
26,Patrick Mahomes,QB,271.6
27,Marcus Mariota,QB,269.8
28,A.J. Green,WR,267.1
29,Dalvin Cook,RB,265.2
30,Mitchell Trubisky,QB,264.2
31,Jimmy Garoppolo,QB,263.5
32,Melvin Gordon,RB,263.5
33,Christian McCaffrey,RB,262.6
34,Jared Goff,QB,259.9
35,Leonard Fournette,RB,258.2
36,Kareem Hunt,RB,258.2
37,Andy Dalton,QB,254.4
38,Ryan Tannehill,QB,254.1
39,LeSean McCoy,RB,253.9
40,Blake Bortles,QB,253.7
41,Dak Prescott,QB,253.3
42,Davante Adams,WR,253.1
43,Rob Gronkowski,TE,251.4
44,Derek Carr,QB,251.0
45,Case Keenum,QB,247.7
46,Eli Manning,QB,242.1
47,Tyrod Taylor,QB,242.0
48,T.Y. Hilton,WR,241.9
49,Larry Fitzgerald,WR,241.3
50,Adam Thielen,WR,237.8
51,Devonta Freeman,RB,234.4
52,Jameis Winston,QB,233.8
53,Mike Evans,WR,233.6
54,Tyreek Hill,WR,231.0
55,Jerick McKinnon,RB,229.6
56,Stefon Diggs,WR,228.3
57,Demaryius Thomas,WR,227.0
58,Doug Baldwin,WR,225.0
59,Amari Cooper,WR,222.4
60,Allen Robinson,WR,220.1
61,Travis Kelce,TE,217.5
62,Golden Tate,WR,217.0
63,Zach Ertz,TE,213.3
64,Jarvis Landry,WR,209.6
65,Joe Mixon,RB,207.1
66,Marvin Jones Jr.,WR,205.4
67,Royce Freeman,RB,203.0
68,Jordan Howard,RB,201.4
69,Joe Flacco,QB,201.3
70,Kenyan Drake,RB,201.2
71,Josh Gordon,WR,201.1
72,JuJu Smith-Schuster,WR,199.9
73,Chris Hogan,WR,199.0
74,Corey Davis,WR,196.7
75,Brandin Cooks,WR,196.5
76,Michael Crabtree,WR,195.3
77,Alshon Jeffery*,WR,193.9
78,Sam Darnold,QB,193.5
79,Marquise Goodwin,WR,191.3
80,Emmanuel Sanders,WR,190.7
81,Robert Woods,WR,190.6
82,Pierre Garcon,WR,190.5
83,Randall Cobb,WR,189.8
84,Sterling Shepard,WR,188.2
85,Sammy Watkins,WR,188.1
86,Robby Anderson,WR,187.6
87,Devin Funchess,WR,186.5
88,Jamison Crowder,WR,185.9
89,Alex Collins,RB,185.6
90,Greg Olsen,TE,185.5
91,Derrick Henry,RB,185.5
92,Cooper Kupp,WR,185.0
93,Jordy Nelson,WR,184.9
94,Evan Engram,TE,183.9
95,Delanie Walker,TE,183.7
96,Jordan Reed,TE,181.2
97,Kenny Stills,WR,178.9
98,Kelvin Benjamin,WR,178.4
99,Marshawn Lynch,RB,176.9
100,Mark Ingram II,RB,175.5
101,Will Fuller V,WR,173.8
102,Rex Burkhead,RB,173.1
103,Dion Lewis,RB,172.4
104,Mohamed Sanu,WR,172.3
105,Lamar Miller,RB,170.8
106,Josh Doctson,WR,170.0
107,Jay Ajayi,RB,169.7
108,DeVante Parker,WR,169.2
109,Jimmy Graham,TE,167.8
110,Nelson Agholor,WR,167.2
111,Jack Doyle,TE,166.7
112,Duke Johnson Jr.,RB,166.7
113,Kyle Rudolph,TE,164.3
114,Tevin Coleman,RB,163.6
115,Tarik Cohen,RB,161.0
116,Allen Hurns,WR,160.3
117,Isaiah Crowell,RB,160.2
118,Julian Edelman,WR,159.5
119,Kenny Golladay,WR,158.9
120,Chris Thompson,RB,157.2
121,Keelan Cole,WR,152.7
122,Kerryon Johnson,RB,150.7
123,Chris Boswell,K,147.7
124,Greg Zuerlein,K,147.6
125,Paul Richardson,WR,147.1
126,John Ross,WR,146.7
127,Tyler Lockett,WR,146.5
128,James White,RB,146.2
129,Stephen Gostkowski,K,145.8
130,Rishard Matthews,WR,145.4
131,Carlos Hyde,RB,145.3
132,Danny Amendola,WR,144.8
133,Marlon Mack,RB,144.4
134,Cameron Meredith,WR,143.5
135,Rashaad Penny,RB,141.4
136,Josh Allen,QB,141.3
137,Ronald Jones,RB,141.2
138,Matt Bryant,K,140.3
139,Matt Prater,K,139.6
140,Justin Tucker,K,138.1
141,DeSean Jackson,WR,137.9
142,Chris Carson,RB,137.4
143,Anthony Miller,WR,137.3
144,Chris Godwin,WR,136.5
145,Charles Clay,TE,135.8
146,Robbie Gould,K,135.6
147,Harrison Butker,K,134.6
148,Theo Riddick,RB,134.4
149,Ty Montgomery,RB,134.2
150,Jake Elliott,K,133.5
151,Jamaal Williams,RB,132.1
